codigo,pais,parlamentos2020,Por_Vulnerable_Femenino_2015,Poblacion_Act_Mujeres2015,Gasto_public_educacion_2015,PBI_2015
AFE,"",30.1284473,78.45549031,47.0601377439274,16.9629097,675.7398763
AFW,"",16.34527089,87.67787153,45.3518171529889,13.24398994,528.5806067
AGO,Angola,30,83.74000072,49.414205682129,8.918776512,387.7842672
ALB,Albania,29.50819672,56.34000015,41.8914325440893,11.17755032,1033.242532
ARG,Argentina,40.85603113,17.68999952,41.8668221891244,13.96331024,7774.736203
ARM,Armenia,23.48484848,42.54999924,46.8349622060902,10.65635967,597.4328988
AUS,Australia,30.46357616,8.21999982,45.9271733775535,14.08578968,20558.9604
AUT,Austria,39.3442623,7.920000076,46.8950611202675,10.69347954,27183.47593
AZE,Azerbaiyán,17.3553719,64.00999832,49.0223752405609,7.631100178,573.9165123
BDI,Burundi,38.21138211,87.81999969,51.7280201737745,27.49724007,128.9389187
BEL,Bélgica,41.33333333,8.689999938,46.1483902861869,12.00967979,25252.80191
BEN,Benin,7.228915663,94.1099968,49.4568075552058,17.4795208,551.8214294
BFA,Burkina Faso,6.299212598,90.43999863,44.9664369315339,18.02708054,300.4217239
BGD,Bangladesh,20.91690544,73.78000069,28.5539748133346,13.70046043,409.5431838
BHR,Bahrein,15,0.8500000238,21.6419216446239,7.32818985,10401.56215
BHS,Bahamas,12.82051282,4.109999925,50.015962695664,11.83151913,26130.01296
BLR,Belarús,40,1.839999951,49.6444321033322,11.46173,1210.61172
BLZ,Belice,9.677419355,27.23999929,38.1939918989024,21.55191994,3066.095138
BOL,Bolivia,46.15384615,64.13000107,40.8301810074836,16.34000015,1003.392226
BRA,Brasil,14.61988304,22.16999912,42.6442293531665,16.21810913,3479.843833
BRB,Barbados,20,11.47999958,49.8544893716891,18.51855278,10914.28224
BTN,Bhután,14.89361702,84.47000122,40.5717333269415,25.52448082,690.9127435
BWA,Botswana,10.76923077,25.61999989,48.7977291989752,17.52825928,3405.821058
CAF,República Centroafricana,8.571428571,96.52000046,45.1141753500879,8.386741638,280.9084242
CEB,Europa Central y del Báltico,24.98843128,14.03677586,45.0835401825919,11.54141045,3988.341046
CHE,Suiza,41.5,9.75,46.4500210107141,15.38836002,41786.23414
CHL,Chile,22.58064516,22.8100009,41.4705157967978,19.59370995,4985.629188
CHN,China,24.94117647,47.18999863,44.4112749911582,12.10192585,873.2870617
CIV,Côte d'Ivoire,11.37254902,85.70000076,39.8480395757206,21.17321968,1177.040794
CMR,Camerún,33.88888889,83.56999969,46.6940625253759,13.24398994,765.3103315
COD,"Congo, República Democrática del",12.8,88.93999863,47.8528645501699,11.73836994,102.5979732
COG,"Congo, República del",11.25827815,90.60000062,49.5234410462151,7.950399876,774.9961029
COL,Colombia,18.34319527,47.00000095,43.2761055403753,14.29273033,2209.93165
COM,Comoras,16.66666667,69.0700016,36.7193283816805,13.35365009,723.1782555
CPV,Cabo Verde,25,48,42.8304986694435,16.74822998,1408.986203
CRI,Costa Rica,45.61403509,19.16000009,39.3985394719361,23.37343025,3668.802068
CSS,Estados pequeos del Caribe,25.5033557,21.43092084,43.6401877604782,14.37622452,4938.52388
CYP,Chipre,19.64285714,10.60000002,46.3799079190606,16.02495956,15287.91895
CZE,República Checa,22.5,10.91999984,44.2077422357878,13.71630955,6337.41912
DEU,Alemania,31.17066291,5.239999831,46.5246922858045,10.99915981,26734.94254
DJI,Djibouti,26.15384615,43.94000125,25.4896719319563,8.576439857,765.8583232
DOM,República Dominicana,27.89473684,30.01000047,39.023179778485,22.59584999,2653.225124
EAP,Asia oriental y el Pacífico (excluido altos ingresos),21.50785642,50.00799105,43.7182287923691,16.01622009,876.0377584
EAR,inicial del dividendo demográfico,24.45091294,62.0032975,29.9487790177459,15.85421991,1280.023111
EAS,Asia oriental y el Pacífico,21.33004926,46.09363081,43.6623290883189,16.37351036,3814.678023
ECA,Europa y Asia central (excluido altos ingresos),23.72492837,17.72736494,44.5273558675261,11.82738495,1603.690009
ECS,Europa y Asia central,30.2941446,12.93598476,45.3942755335344,12.10135984,12408.06447
ECU,Ecuador,39.41605839,51.71000099,39.7972180045495,12.59764957,1578.934298
EGY,"Egipto, República Árabe de",27.41116751,46.5099988,24.292818611826,11.92453957,1343.551963
EMU,Zona del Euro,33.85558583,8.555301254,46.1272493704017,11.5044198,22220.08207
ESP,España,44,9.520000398,46.3606563384306,9.766460419,15720.6405
EST,Estonia,28.71287129,4.75999999,48.7084192417298,13.01430035,4140.936602
ETH,Etiopía,38.75685558,89.36999893,46.3690505570732,27.09870911,119.6840763
EUU,Unión Europea,32.40669636,9.662844833,45.892650223357,11.54141045,18482.89392
FCS,Frágiles y situaciones de conflicto afectados,20.71177639,76.39100158,42.3427001674289,13,715.9599814
FIN,Finlandia,46,7.310000062,48.2546512265254,12.44361019,26186.19001
FJI,Fiji,19.60784314,49.98000145,33.7650407191366,17.39184952,2401.686422
GAB,Gabón,14.78873239,35.23999953,40.2719069460683,10.91316032,3888.879467
