Data Source,Indicadores del desarrollo mundial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,20/7/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,"Empleo vulnerable, mujeres (% del empleo femenino)",SL.EMP.VULN.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AFE,"Empleo vulnerable, mujeres (% del empleo femenino)",SL.EMP.VULN.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.95039886,83.04626885,83.0114034,82.99167949,82.90748603,82.5158102,82.61453135,82.69146969,82.68183205,82.80463489,82.78323622,83.22008784,83.30132441,82.92531685,83.03780006,82.78661775,82.16406828,81.3989984,81.5280942,81.27155424,80.58114957,79.98051889,79.42102173,78.82063612,78.45549031,78.14058691,77.75875252,77.27353788,77.12293334,,
Afganistán,AFG,"Empleo vulnerable, mujeres (% del empleo femenino)",SL.EMP.VULN.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.48999882,98.49999905,98.54000187,98.60000324,98.59999752,98.61999989,98.63999844,98.66000366,98.67999744,98.72000217,98.76000309,98.66999912,98.59999752,98.54999828,98.48000336,98.40999985,98.30999851,98.23999977,97.86999989,97.40999889,96.93000126,96.2699976,95.43999672,94.49999809,93.40000343,92.04000092,90.26000023,89.92000389,89.47000122,,
,AFW,"Empleo vulnerable, mujeres (% del empleo femenino)",SL.EMP.VULN.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.66549827,92.63838959,92.70327201,92.69789221,92.53469186,92.43516866,92.34470076,92.48293525,92.28814162,91.84403985,91.84048772,91.77641549,91.337742,90.84167887,90.48304034,90.19391865,89.92393741,89.4760744,89.32801304,88.49212664,87.6427175,87.51878943,87.76545619,87.54361141,87.67787153,87.56709912,86.82658163,86.18193471,85.72048093,,
Angola,AGO,"Empleo vulnerable, mujeres (% del empleo femenino)",SL.EMP.VULN.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.38999653,80.57000351,80.35000229,78.74999666,78.82999802,78.46000004,78.66999674,78.73000288,76.52999926,76.01000357,76.19000292,76.29999733,76.2699995,75.05000162,74.94000101,75.79999685,76.11000347,76.91000319,80.40000057,80.37000084,81.03000164,81.32999706,82.36999989,83.09000206,83.74000072,83.79999733,84.12000179,84.34999943,84.68000317,,
Albania,ALB,"Empleo vulnerable, mujeres (% del empleo femenino)",SL.EMP.VULN.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.91000175,61.13999939,60.77999973,60.36000061,59.29999924,58.85000134,62.85000038,62.31999874,60.88000107,60.19000053,58.82999992,58.79999924,58.34000015,57.98999786,58.48999786,57.47999954,57.11999893,66.6400013,64.88999939,62.59999847,64.12999916,67.03999901,61.8599987,58.19000053,56.34000015,55.46000099,53.63999939,51.70000076,51.05000114,,
Andorra,AND,"Empleo vulnerable, mujeres (% del empleo femenino)",SL.EMP.VULN.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El mundo árabe,ARB,"Empleo vulnerable, mujeres (% del empleo femenino)",SL.EMP.VULN.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.77340011,50.39856486,50.27038095,50.18726737,48.08314865,47.6987626,47.19970421,45.35964609,44.18039377,46.03301524,42.95685156,41.9052993,43.90024788,45.35742829,44.38800584,42.9327274,43.82477307,42.05442371,41.59964678,40.80129563,39.31391843,37.4903763,38.07080434,37.78542529,36.80091312,32.22542931,33.00844026,31.67132116,30.30357302,,
Emiratos Árabes Unidos,ARE,"Empleo vulnerable, mujeres (% del empleo femenino)",SL.EMP.VULN.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5699999928,0.5799999833,0.5799999833,0.5899999738,0.5899999738,0.5899999738,0.5799999833,0.5899999738,0.5899999738,0.5799999833,0.5899999738,0.5899999738,0.5600000024,0.5400000215,0.5299999714,0.4199999869,0.3300000131,0.2700000107,0.2800000105,0.2800000105,0.2599999998,0.2499999944,0.2500000037,0.2399999984,0.229999993,0.2200000025,1.049999982,2.350000024,3.990000039,,
Argentina,ARG,"Empleo vulnerable, mujeres (% del empleo femenino)",SL.EMP.VULN.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.52999926,25.03000021,25.50999951,25.42000055,22.76000023,23.23999977,22.50999975,22.07000065,21.64999914,20.63999951,21.42000008,19.99000013,19.04000044,18.65999937,18.3100009,17.43999994,16.5400002,16.35999966,16.8999995,16.46000004,16.07999957,16.10000002,16.68000036,17.22000045,17.68999952,18.42999911,19.00000048,19.9600001,21.01000053,,
